Date,Content,Content link,Influencer,Type,Tags,Estimated cost,CPM,Subscribers,Region,Promotion type,Engagement rate,Views,Likes,Comments,Brand,Like rate,Comment rate,Calculated ER,Views per 1K subscribers,Cost per 1K views,Views per dollar,Creator tier,Month,Content theme
2025-05-05,I Trained My Little Brother Like a Pro Athlete for 30 Days | Weight Loss Journey | DAY 1,https://www.youtube.com/watch?v=wh8wS4MCDS4,Natalie Yoo,Sports,"sports,football,soccer,life,texas",71,27.0,7710,美国,Suspected,0.0596,1091,35,3,Major Fitness,0.032080659945004586,0.002749770852428964,0.034830430797433545,141.50453955901426,65.07791017415215,15.366197183098592,Nano,2025-05,Sports / Athlete
2025-05-02,Still Hitting PRs on Low Sleep 💪🏼💥,https://www.youtube.com/shorts/ginV9D4gW0M,REVIVAL Fitness,"Health,Fitness","revivalfitness,religion,building,health,gym",1967,27.0,65400,美国,Suspected,0.0626,13083,259,56,Major Fitness,0.019796682718031033,0.004280363830925628,0.024077046548956663,200.045871559633,150.3477795612627,6.6512455516014235,Mid,2025-05,Strength / Training
2025-05-02,THIS is a Dad Bod ⁉️,https://www.youtube.com/shorts/PN6PfUDeJyo,REVIVAL Fitness,"Health,Fitness","revivalfitness,religion,building,health,gym",1967,27.0,65400,美国,Suspected,0.0516,987298,26064,2489,Major Fitness,0.0263993242161941,0.002521022021719886,0.028920346237913983,15096.299694189602,1.9923062742961093,501.93085917641076,Mid,2025-05,Strength / Training
2025-04-30,This Hero WOD Will Break Even Elite Athletes,https://www.youtube.com/shorts/0p_rIGVJ5IA,Christopher Kellum,"Health,Fitness,Military,Fashion","health,fitness,army fitness,kellum fitness,75hard",50,27.0,86700,美国,Suspected,0.0305,885,7,2,Major Fitness,0.007909604519774011,0.0022598870056497176,0.010169491525423728,10.207612456747405,56.497175141242934,17.7,Mid,2025-04,Strength / Training
2025-04-28,US Military's Shocking Obesity Emergency CRISIS,https://www.youtube.com/shorts/b-LQQ0OdQms,Christopher Kellum,"Health,Fitness,Military,Fashion","health,fitness,army fitness,kellum fitness,75hard",50,27.0,86700,美国,Suspected,0.0737,678,20,3,Major Fitness,0.029498525073746312,0.004424778761061947,0.03392330383480826,7.82006920415225,73.74631268436578,13.56,Mid,2025-04,Strength / Training
2025-04-28,#homegym #fitness #majorfitness,https://www.youtube.com/shorts/HvqWfK7PtMg,MAJOR FITNESS,"Workout,Home,Health,Challenge","homegym,garagegym,fitness,workout,majorfitness",96,27.0,26000,美国,Sponsored,0.0139,288,4,0,Major Fitness,0.013888888888888888,0.0,0.013888888888888888,11.076923076923077,333.3333333333333,3.0,Micro,2025-04,Home Gym / Garage Gym
2025-04-28,F35,https://www.youtube.com/watch?v=Ba5cDkY01pc,MAJOR FITNESS,"Workout,Home,Health,Challenge","homegym,garagegym,fitness,workout,majorfitness",96,27.0,26000,美国,Suspected,0.0,10,0,0,Major Fitness,0.0,0.0,0.0,0.38461538461538464,9600.0,0.10416666666666667,Micro,2025-04,Home Gym / Garage Gym
2025-04-28,F22 PRO by Major Fitness,https://www.youtube.com/watch?v=Th5aq9eH710,MAJOR FITNESS,"Workout,Home,Health,Challenge","homegym,garagegym,fitness,workout,majorfitness",96,27.0,26000,美国,Sponsored,0.1667,6,1,0,Major Fitness,0.16666666666666666,0.0,0.16666666666666666,0.23076923076923075,16000.0,0.0625,Micro,2025-04,Home Gym / Garage Gym
2025-04-28,F35 PRO by Major Fitness,https://www.youtube.com/watch?v=e0wyNU2ckPw,MAJOR FITNESS,"Workout,Home,Health,Challenge","homegym,garagegym,fitness,workout,majorfitness",96,27.0,26000,美国,Sponsored,0.5,2,1,0,Major Fitness,0.5,0.0,0.5,0.07692307692307693,48000.0,0.020833333333333332,Micro,2025-04,Home Gym / Garage Gym
2025-04-28,F35. #homegym #majorfitness #powerrack,https://www.youtube.com/watch?v=WU0Lf9tmHDs,MAJOR FITNESS,"Workout,Home,Health,Challenge","homegym,garagegym,fitness,workout,majorfitness",96,27.0,26000,美国,Sponsored,0.0,5,0,0,Major Fitness,0.0,0.0,0.0,0.19230769230769232,19200.0,0.052083333333333336,Micro,2025-04,Home Gym / Garage Gym
2025-04-27,Train at Home? Train with Major Fitness B52! For Your Stronger Tomorrow.,https://www.youtube.com/watch?v=6QvhP6wZKrE,MAJOR FITNESS,"Workout,Home,Health,Challenge","homegym,garagegym,fitness,workout,majorfitness",96,27.0,26000,美国,Sponsored,0.0435,23,1,0,Major Fitness,0.043478260869565216,0.0,0.043478260869565216,0.8846153846153846,4173.913043478261,0.23958333333333334,Micro,2025-04,Home Gym / Garage Gym
