Brand,Influencer,collaborations,subscribers,total_views,avg_views,median_views,avg_engagement,avg_calculated_er,total_likes,total_comments,estimated_cost,avg_cost_per_1k_views,avg_views_per_1k_subscribers,view_score,engagement_score,efficiency_score,repeat_score,Opportunity score,Competitor overlap
RITFIT,Valentine Lewis,2,271000,60387,30193.5,30193.5,0.068,0.050702211744957454,2814,119,3770,63.86344573183578,111.41512915129151,0.9130434782608695,0.34782608695652173,0.5217391304347826,0.6086956521739131,61.30434782608696,False
RITFIT,Why Knot Build It,1,844,3968,3968.0,3968.0,0.1127,0.033266129032258,97,35,146,36.79435483870968,4701.421800947867,0.5,0.6521739130434783,0.967391304347826,0.2826086956521739,61.141304347826086,False
Major Fitness,Challenge Theory,3,13100,8009,2669.6666666666665,1648.0,0.12496666666666667,0.027943317934800035,128,70,414,69.32703469490048,203.79134860050894,0.41304347826086957,0.6956521739130435,0.6847826086956522,0.7010869565217391,60.923913043478265,True
RITFIT,"911Studios - Shopping, Gadgets & Tech",1,997000,48156,48156.0,48156.0,0.1263,0.1074424786111803,5073,101,1288,26.746407508929316,48.30090270812437,0.9456521739130435,0.717391304347826,0.31521739130434784,0.2826086956521739,59.836956521739125,False
Major Fitness,lucia cordaro,1,23700,4576,4576.0,4576.0,0.1565,0.0699300699300699,276,44,190,41.52097902097903,193.0801687763713,0.5543478260869565,0.8260869565217391,0.6630434782608695,0.2826086956521739,59.5108695652174,False
Major Fitness,Garage Gym Radio,2,4160,1521,760.5,760.5,0.3205,0.072455324125832,62,43,200,163.50337971483117,182.8125,0.1956521739130435,0.967391304347826,0.6521739130434783,0.6086956521739131,58.53260869565218,False
Major Fitness,Gwen Jorgensen,9,55000,44571,4952.333333333333,5463.0,0.07225555555555556,0.047443734822244024,1945,128,1395,39.19401696514594,90.04242424242425,0.5978260869565217,0.40217391304347827,0.4891304347826087,0.8641304347826086,57.49999999999999,False
RITFIT,StephanieFitMarie,1,78900,7646,7646.0,7646.0,0.1329,0.0740256343185979,516,50,102,13.340308658121897,96.90747782002536,0.6847826086956522,0.7391304347826086,0.5,0.2826086956521739,57.173913043478265,False
RITFIT,Joey Suggs,2,66200,19736,9868.0,9868.0,0.060950000000000004,0.02466097200135495,397,72,314,17.587996973904925,149.06344410876133,0.7282608695652174,0.29347826086956524,0.5978260869565217,0.6086956521739131,56.30434782608695,True
Major Fitness,Trey Drechsel,1,60900,11028,11028.0,11028.0,0.0761,0.0589408777656873,629,21,458,41.53064925643816,181.08374384236453,0.7608695652173914,0.43478260869565216,0.6413043478260869,0.2826086956521739,55.38043478260869,False
Major Fitness,Frank Medrano,3,1840000,244001,81333.66666666667,21444.0,0.046566666666666666,0.031864089545120704,4578,223,1065,16.394711082726804,44.20307971014493,0.967391304347826,0.17391304347826086,0.29347826086956524,0.7010869565217391,54.72826086956522,False
RITFIT,Life with the Shorts,1,915000,14130,14130.0,14130.0,0.1522,0.0903750884642604,1180,97,901,63.7650389242746,15.442622950819672,0.8152173913043478,0.8152173913043478,0.15217391304347827,0.2826086956521739,54.293478260869556,False
Major Fitness,Spence Crosby,11,57600,49063,4460.272727272727,1727.0,0.06791818181818182,0.05264068045584056,2340,62,1177,50.954916508335515,77.4352904040404,0.5434782608695652,0.33695652173913043,0.44565217391304346,0.8804347826086957,53.47826086956522,False
RITFIT,Carol Chang,1,330000,8484,8484.0,8484.0,0.1841,0.1034889203206034,802,76,350,41.254125412541256,25.70909090909091,0.7065217391304348,0.8695652173913043,0.1956521739130435,0.2826086956521739,53.47826086956522,False
